"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Jefferson's Very Small Batch Bourbon","7.90","0.70","8","$$","Bourbon-like","","R3","USA","Bourbon"
"Amrut PX Sherry Single Cask 2702","7.89","0.92","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Glen Grant The Major's Reserve","7.89","0.59","11","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Jura Turas Mara","7.88","0.55","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Penderyn Sherrywood","7.88","0.62","12","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"BenRiach Heart of Speyside","7.88","0.62","7","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Stalk & Barrel Blue Blend","7.88","0.59","4","$$","Rye-like","","","Canada","Blend"
"Speyside 12yo","7.87","0.63","10","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hankey Bannister Original","7.87","0.33","6","$","Scotch-like","","","Scotland","Blend"
"Islay Mist 8yo","7.87","0.49","9","$","Scotch-like","","","Scotland","Blend"
"Ancient Age Kentucky Straight Bourbon","7.87","0.67","10","$","Bourbon-like","","R2","USA","Bourbon"
"Jack Daniel's Gentleman Jack","7.87","0.38","15","$$","Bourbon-like","","R1","USA","Bourbon"
"Grand Macnish","7.86","0.47","8","$","Scotch-like","","","Scotland","Blend"
"Teacher's Highland Cream","7.86","0.74","12","$","Scotch-like","","","Scotland","Blend"
"Tullamore Dew Original Blended","7.86","0.39","20","$$","Scotch-like","","","Ireland","Blend"
"Glen Moray 12yo Chenin Blanc","7.85","0.79","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Kirin 18yo (Fuji Sanroku)","7.85","2.49","5","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Tomintoul Peaty Tang","7.85","0.67","12","$$","SingleMalt-like","J","J","Scotland","Malt"
"Jameson Lively Irish Whiskey","7.85","0.45","3","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Adventurer","7.85","0.10","3","$$","Scotch-like","","","Scotland","Blend"
"Penderyn Legend","7.84","0.77","9","$$$","SingleMalt-like","EF","F","Wales","Malt"
"Macallan Gold Double Cask","7.84","0.50","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"McClelland's Islay Single Malt","7.84","0.65","9","$$","SingleMalt-like","J","J","Scotland","Malt"
"Ezra Brooks Black Label","7.84","0.80","8","$","Bourbon-like","","R1","USA","Bourbon"
"Tomintoul 10yo","7.83","0.53","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 12yo Caoran Reserve","7.83","0.51","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Queen","7.83","0.50","3","$","Scotch-like","","","Scotland","Blend"
"Heaven Hill Old Syle Bourbon (white label)","7.83","0.48","5","$","Bourbon-like","","R1","USA","Bourbon"
"Gibson's Finest 12yo","7.82","0.75","12","$","Rye-like","","","Canada","Blend"
"Jameson Irish Whiskey","7.81","0.43","21","$$","Scotch-like","","","Ireland","Blend"
"Redemption High Rye Bourbon","7.79","0.74","7","$$","Bourbon-like","","R3","USA","Bourbon"
"Auchentoshan 10yo","7.78","0.35","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenrothes Select Reserve","7.77","0.38","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Penderyn Aur Cymru","7.77","0.60","9","$$$$","SingleMalt-like","EF","E","Wales","Malt"
"Chivas Regal 12yo","7.77","0.45","23","$$","Scotch-like","","","Scotland","Blend"
"Schenley Golden Wedding","7.77","0.68","10","$","Rye-like","","","Canada","Blend"
"Mars Iwai Tradition","7.75","0.87","6","$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Auchentoshan American Oak","7.74","0.87","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyside 10yo","7.73","0.61","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Breton 14yo","7.73","0.99","7","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Rich and Rare","7.73","0.62","6","$","Rye-like","","","Canada","Blend"
"Loch Lomond NAS","7.72","0.42","14","$","SingleMalt-like","GH","H","Scotland","Malt"
"Rich and Rare Reserve","7.71","0.55","7","$","Rye-like","","","Canada","Blend"
"Jim Beam Distillers Series","7.71","1.28","5","$$","Bourbon-like","","R2","USA","Bourbon"
"Tamnavulin 12yo","7.7","0.79","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Grant's Family Reserve Blended","7.70","0.64","14","$","Scotch-like","","","Scotland","Blend"
"Bushmills Original Blended","7.69","0.48","18","$$","Scotch-like","","","Ireland","Blend"
"Old Overholt","7.69","0.58","8","$","Rye-like","","R4","USA","Rye"
"Black Velvet 3yo","7.68","0.94","9","$","Rye-like","","","Canada","Blend"
"Seagram's VO","7.68","0.69","10","$","Rye-like","","","Canada","Blend"
"Jim Beam White Label","7.68","0.51","20","$","Bourbon-like","","R2","USA","Bourbon"
"Bowmore Legend","7.67","0.56","10","$$","SingleMalt-like","I","I","Scotland","Malt"
"The Quiet Man Traditional Irish Whiskey","7.65","1.07","8","$$","Scotch-like","","","Ireland","Blend"
"Whyte & Mackay Special Blended","7.65","0.38","7","$","Scotch-like","","","Scotland","Blend"
"Silk Tassel","7.65","0.78","4","$","Rye-like","","","Canada","Blend"
"Ezra B 12yo Single Barrel","7.65","0.92","4","$$$","Bourbon-like","","R1","USA","Bourbon"
"Famous Grouse","7.64","0.57","21","$","Scotch-like","","","Scotland","Blend"
"Mackmyra Special 01","7.59","0.44","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Ballantine's Finest","7.59","0.62","12","$","Scotch-like","","","Scotland","Blend"
"Cutty Sark","7.59","0.53","16","$","Scotch-like","","","Scotland","Blend"
"Dewar's White Label","7.59","0.69","16","$$","Scotch-like","","","Scotland","Blend"
"Mackmyra Vit Hund","7.59","0.59","3","$$$","Scotch-like","","","Sweden","Malt"
"White Oak Akashi Blended","7.59","0.75","9","$$$","Scotch-like","","","Japan","Blend"
"Glen Moray 16yo Chenin Blanc","7.58","0.62","4","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bell's Original Scotch Whisky","7.56","0.69","8","$","Scotch-like","","","Scotland","Blend"
"Canadian Mist","7.56","0.70","11","$","Rye-like","","","Canada","Blend"
"Crown Royal","7.56","0.48","20","$","Rye-like","","","Canada","Blend"
"Compass Box Orangerie","7.55","1.07","9","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker White Walker (Game of Thrones)","7.55","0.80","11","$$","Scotch-like","","","Scotland","Blend"
"Santis Edition Säntis","7.53","0.83","7","$$$$","SingleMalt-like","EF","F","Switzerland","Malt"
"8 Seconds","7.53","0.41","5","$$","Rye-like","","","Canada","Blend"
"Singleton of Dufftown Spey Cascade","7.48","0.61","3","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow 10yo Tokaji Finish","7.48","1.00","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Rebel Yell Kentucky Bourbon","7.42","0.57","12","$","Bourbon-like","","R0","USA","Bourbon"
"Jim Beam Red Stag (Black Cherry)","7.40","0.96","4","$","Bourbon-like","","","USA","Flavoured"
"Johnnie Walker Red Label","7.39","0.61","24","$","Scotch-like","","","Scotland","Blend"
"J.P. Wiser's Special Blend","7.34","0.85","6","$","Rye-like","","","Canada","Blend"
"P&M Blended Whisky","7.33","1.04","5","$","Scotch-like","","","France","Blend"
"Seagram's Canadian 83","7.33","0.72","7","$","Rye-like","","","Canada","Blend"
"Canadian Club (Premium)","7.32","0.68","20","$","Rye-like","","","Canada","Blend"
"Passport Blended Scotch","7.31","1.04","8","$","Scotch-like","","","Scotland","Blend"
"Laphroaig QA Cask","7.27","0.54","12","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Whyte & Mackay Blended Triple Matured","7.27","0.89","3","$","Scotch-like","","","Scotland","Blend"
"Virginia Black","7.22","1.14","6","$$","Bourbon-like","","R2","USA","Bourbon"
"Santis Edition Dreifaltigkeit / Cask Strength Peated","7.2","1.73","12","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Proof Whisky","7.18","0.8","9","$$","Rye-like","","","Canada","Blend"
"Black Velvet Reserve 8yo","7.16","0.58","3","$","Rye-like","","","Canada","Blend"
"Black Velvet Deluxe","7.09","0.74","8","$","Rye-like","","","Canada","Blend"
"McClelland's Highland Single Malt","7.08","0.59","7","$$","SingleMalt-like","GH","G","Scotland","Malt"
"McClelland's Lowland Single Malt","6.96","0.54","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"J&B Rare","6.94","1.11","13","$","Scotch-like","","","Scotland","Blend"
"McClelland's Speyside Single Malt","6.93","0.83","7","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Ellington Reserve 8yo","6.85","0.98","4","$","Rye-like","","","Canada","Blend"
"Yamazakura Blended Whisky","6.66","1.15","3","$$$","Scotch-like","","","Japan","Blend"
"Santis Cask Strength Peated","6.43","1.87","6","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
